City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Rio Branco,BR,84.81,scattered clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
199,Nicoya,CR,86.09,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
205,Tiarei,PF,86.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
207,Sechura,PE,76.87,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
208,Lubao,PH,75.27,light rain,14.9167,120.55,Hacienda Gracia
214,Fomboni,KM,82.27,clear sky,-12.28,43.7425,Auberge les abou
217,Lompoc,US,79.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
225,Maragogi,BR,78.1,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
228,Buala,SB,83.16,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
232,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
236,Kavieng,PG,80.87,moderate rain,-2.5744,150.7967,Nusa Island Retreat
240,Soyo,AO,78.01,scattered clouds,-6.1349,12.3689,Hotel Mpampa
245,Harindanga,IN,78.78,clear sky,22.0383,88.3214,Hasanur Builders
246,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
250,Tahta,EG,78.08,clear sky,26.7693,31.5021,فندق الزيات
252,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
256,Ciudad Guayana,VE,83.12,broken clouds,8.3533,-62.6528,Hotel Las Americas
270,Ransang,PH,78.44,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
271,Sosua,DO,89.58,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
274,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
281,Benjamin Constant,BR,87.93,few clouds,-4.3831,-70.0311,CASA AVALIADA
282,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
284,Boquira,BR,77.34,broken clouds,-12.8231,-42.7306,Cristal Palace Hotel
285,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
290,Innisfail,AU,81.55,scattered clouds,-17.5333,146.0333,Moondarra Motel
292,Codajas,BR,75.61,light rain,-3.8367,-62.0569,Atlântic Hotel
296,Carauari,BR,75.4,broken clouds,-4.8828,-66.8958,Hotel Fellip
303,Kieta,PG,85.37,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
308,Santa Vitoria,BR,77.16,clear sky,-18.8386,-50.1214,Center Hotel
312,Mucurapo,TT,82.45,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
313,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
318,Novo Aripuana,BR,75.02,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
319,Tabou,CI,81.05,overcast clouds,4.423,-7.3528,hotêl doufoulougou
321,Freetown,SL,76.19,scattered clouds,8.484,-13.2299,The Country Lodge Hotel
327,Bani,DO,81.84,clear sky,18.2833,-70.3333,Hospedaje Henriquez
328,Tarakan,ID,76.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
332,Russell,US,78.4,clear sky,32.3502,-85.1999,Macs
334,Port-Gentil,GA,80.53,scattered clouds,-0.7193,8.7815,Fengshui Residence
343,Jeremie,HT,79.02,scattered clouds,18.65,-74.1167,Auberge’Inn
345,Noumea,NC,84.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
346,Pizarro,CO,79.92,broken clouds,4.9533,-77.366,Hotel Limonar
353,Pathein,MM,75.81,overcast clouds,16.7833,94.7333,Pathein Hotel
354,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
355,Caucaia,BR,81.03,light rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
356,Ullal,IN,83.35,scattered clouds,12.8,74.85,AK INTERNATIONAL LODGE
357,Mahibadhoo,MV,82.63,few clouds,3.7833,72.9667,Omadhoo Inn
360,Rosarito,MX,75.24,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
361,Rancho Palos Verdes,US,76.08,broken clouds,33.7445,-118.387,Terranea Resort
368,Samarai,PG,82.38,light rain,-10.6167,150.6667,Nuli Sapi
373,Touros,BR,79.54,few clouds,-5.1989,-35.4608,INN NEW HORIZON
375,Juba,SS,81.45,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
376,La Palma,US,82.65,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
377,Sabha,LY,82.36,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
379,Taoudenni,ML,83.97,clear sky,22.6783,-3.9836,
380,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
386,Aransas Pass,US,78.8,overcast clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
393,Isla Mujeres,MX,84.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
394,Kalmunai,LK,77.0,light rain,7.4167,81.8167,VS Villa
396,Aloleng,PH,79.61,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
397,Weligama,LK,76.87,overcast clouds,5.9667,80.4167,Weligama Bay Resort
398,Guhagar,IN,77.92,broken clouds,17.4842,73.1929,Hotel Seawinds
400,Harper,LR,81.19,overcast clouds,4.375,-7.7169,Screensaver
408,Puerto Madero,MX,84.16,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
412,Kloulklubed,PW,81.75,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
414,Hervey Bay,AU,76.39,clear sky,-25.2986,152.8535,Shelly Bay Resort
424,Faanui,PF,82.99,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
429,Silvassa,IN,78.19,clear sky,20.2667,73.0167,Wonderland Resort
430,Iralaya,HN,81.37,scattered clouds,15.0,-83.2333,Iglesia morava renovada
431,Bandarbeyla,SO,77.16,overcast clouds,9.4942,50.8122,JABIR HOTEL
