City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Aswan,EG,24.0934,32.907,90.7,10,0,8.05,clear sky
192,Vorukh,TJ,39.8494,70.5838,51.22,27,0,11.61,clear sky
193,Grindavik,IS,63.8424,-22.4338,32.47,100,100,11.5,light snow
194,Rio Branco,BR,-9.9747,-67.81,84.81,74,40,1.14,scattered clouds
195,Nushki,PK,29.5542,66.0215,71.85,11,28,5.53,scattered clouds
196,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,25.32,few clouds
197,Tambura,SS,5.6,27.4667,71.4,75,59,3.94,broken clouds
198,Deputatskiy,RU,69.3,139.9,-5.64,96,100,2.93,overcast clouds
199,Nicoya,CR,10.1483,-85.452,86.09,59,100,2.55,overcast clouds
200,Meadow Lake,US,34.8014,-106.5436,70.68,18,5,8.37,clear sky
201,Iqaluit,CA,63.7506,-68.5145,11.93,73,75,21.85,broken clouds
202,Zarasai,LT,55.7333,26.25,34.92,84,100,17.11,overcast clouds
203,Kununurra,AU,-15.7667,128.7333,71.58,94,6,0.0,clear sky
204,Lowestoft,GB,52.4752,1.7516,53.85,85,100,18.99,overcast clouds
205,Tiarei,PF,-17.5333,-149.3333,86.02,78,42,15.5,scattered clouds
206,Luderitz,NA,-26.6481,15.1594,59.34,83,0,5.93,clear sky
207,Sechura,PE,-5.5569,-80.8222,76.87,65,42,15.1,scattered clouds
208,Lubao,PH,14.9167,120.55,75.27,76,89,7.94,light rain
209,Lata,PT,40.1629,-8.3327,44.58,51,99,5.39,overcast clouds
210,Pachperwa,IN,27.5167,82.65,72.32,11,0,3.67,clear sky
211,Beringovskiy,RU,63.05,179.3167,-0.11,71,60,18.52,broken clouds
212,Hirara,JP,24.8,125.2833,66.47,77,75,10.36,broken clouds
213,Sorland,NO,67.667,12.6934,31.23,45,32,17.02,scattered clouds
214,Fomboni,KM,-12.28,43.7425,82.27,69,0,4.18,clear sky
215,Gat,IL,31.61,34.7642,63.28,27,9,6.4,clear sky
216,Grand-Santi,GF,4.25,-54.3833,73.27,99,100,2.33,moderate rain
217,Lompoc,US,34.6391,-120.4579,79.79,52,0,21.85,clear sky
218,Dutlwe,BW,-23.9833,23.9,68.0,71,17,9.08,few clouds
219,Parkes,AU,-33.1333,148.1833,63.63,47,0,3.04,clear sky
220,Igarka,RU,67.4667,86.5833,17.47,90,100,19.35,overcast clouds
221,Hualmay,PE,-11.0964,-77.6139,70.74,81,61,11.65,broken clouds
222,Flin Flon,CA,54.7682,-101.865,42.64,52,20,12.66,few clouds
